AppNumber,ApplicantType,Institution,OrganizationType,InstCity,InstState,InstPostalCode,InstCountry,CongressionalDistrict,Latitude,Longitude,CouncilDate,YearAwarded,ProjectTitle,Program,Division,ApprovedOutright,ApprovedMatching,AwardOutright,AwardMatching,OriginalAmount,SupplementAmount,BeginGrant,EndGrant,ProjectDesc,ToSupport,PrimaryDiscipline,SupplementCount,Supplements,ParticipantCount,Participants,DisciplineCount,Disciplines
CZ-50220-10,1,Knox College,Four-Year College,Galesburg,IL,61401-4938,USA,17,40.94375,-90.37042,7/1/2009 12:00:00 AM,2009,The Lincoln Studies Center at Knox College,Special Initiatives,Challenge Programs,0.0000,850000.0000,0.0000,33690.0000,33690.0000,0.0000,9/1/2008 12:00:00 AM,7/31/2015 12:00:00 AM,"The Lincoln Studies Center at Knox College has achieved remarkable success in its eleven years of operation. Founded by two retired teaching partners with the aim of making important primary Lincoln sources more available, the Center's numerous publications and its partnership with the Library of Congress in transcribing and annotating Lincoln's personal papers for the Library's Web site have earned it significant recognition and acclaim. Knox College requests $1 million from the National Endowment for the Humanities We the People Challenge Grants in U.S. History, Institutions, and Culture to endow the Lincoln Studies Center to support the Directorship of the Center, to develop a Web resource providing access to full-text versions of significant works and collections of Lincoln-related source materials, and to further enhance the activities of the Center through a series of educational initiatives to benefit the undergraduate academic program of Knox College and the general public.",Endowment for two positions and program enhancements of the Lincoln Studies Center.,U.S. History,0,,1,Douglas Wilson [Project Director],1,U.S. History
CZ-50229-10,1,Gilder Lehrman Institute of American History,University,New York,NY,10036-5900,USA,12,40.75511,-73.98047,7/1/2009 12:00:00 AM,2009,Gilder Lehrman Institute History Schools Program Transformation,Special Initiatives,Challenge Programs,0.0000,1000000.0000,0.0000,1000000.0000,1000000.0000,0.0000,9/1/2008 12:00:00 AM,7/31/2014 12:00:00 AM,"The Gilder Lehrman Institute of American History seeks a $1,000,000 We the People Challenge Grant from the NEH to fund a transformation of its History Schools Program. This grant, along with the $3,000,000 nonfederal match, would allow the Institute to expand its network of schools, fostering student understanding of the nation's founding principles, including representative government, separation of powers, individual freedoms, and equality of opportunity. K-12 students and teachers nationwide will enjoy unprecedented access to educational materials and resources created with the Gilder Lehrman Collection, an archive of more than 60,000 documents spanning the nation's history. Using these materials to study the evolution of the founding principles in critical periods of American history, students will come to understand that the nation's development was neither pre-ordained nor uncontested, but the product of debate, conflict, and upheaval.","Endowment, bridging funds, and direct support to fund a transformation of the Gilder Lehrman's History Schools Program.",U.S. History,0,,1,Lesley Herrmann [Project Director],1,U.S. History
GE-50183-10,1,"Museum of Fine Arts, Boston",Art Museum,Boston,MA,02115-5523,USA,7,42.33875,-71.09346,7/1/2009 12:00:00 AM,2009,American Art Web Collections Interpretation & Access project,America's Historical and Cultural Organizations: Planning Grants,Public Programs,40000.0000,0.0000,40000.0000,0.0000,40000.0000,0.0000,9/1/2009 12:00:00 AM,1/31/2010 12:00:00 AM,"The Museum of Fine Arts, Boston (MFA) requests a grant from the National Endowment for the Humanities in support of its Collections Interpretation & Access project which, in its first phase, will focus on creating a new interpretive online resource for the Museum's American Art collection. In the fall of 2010, the MFA will open a new wing for its unparalleled Art of the Americas collection. This resource will illuminate key themes of the collection; deepen visitors' engagement with the artworks by providing rich learning and discovery materials; and will offer more dynamic interpretation of the collection for virtual visitors. The MFA's collection of American art is a rich resource through which to examine the evolution of art in the Americas and to explore the multi-faceted nature of the American story. The online resource will draw out central themes of the collection for the public to provide them with new perspectives on American art, history, and experience.",Development of a new online interpretation and search framework for the Americas collection that will serve as an extensible model for all collection areas of the museum.,Art History and Criticism,0,,1,Jenna Fleming [Project Director],1,Art History and Criticism
CH-50683-10,1,Lake County Library District,Library,Lakeview,OR,97630-1517,USA,2,42.189390,-120.345430,11/1/2009 12:00:00 AM,2009,The Lake County Centennial Library Project Enhancements for the Humanities,Challenge Grants,Challenge Programs,0.0000,300000.0000,0.0000,300000.0000,300000.0000,0.0000,12/1/2007 12:00:00 AM,6/30/2013 12:00:00 AM,"The Lake County Library is seeking a $300,000 challenge grant from the National Endowment for the Humanities. This grant, when matched with $900,000 to be raised locally, will create a new home for our humanities collection, and offer expanded opportunities for lifelong learning and humanities related community programming while interpreting the local history of rural Oregon. Our request is part of a community volunteer effort to raise $2,822,684 to build an accessible, community oriented, energy and technology efficient, 10,113 square foot main library by October 2010. Since December 2007, we have raised $667,580 toward this challenge grant match of $900,000. This proposal is based on direct support of the 6,169 square feet within the main library which houses all of the humanities collections, historical displays, community rooms, areas dedicated to humanities programming activities, and public computer areas.",Funding supports construction costs for the humanities-related portions of a new public library facility serving rural Lake County in eastern Oregon.,"Interdisciplinary Studies, General",0,,1,Amy Hutchinson [Project Director],1,"Interdisciplinary Studies, General"
CH-50685-10,1,Pennsylvania State University,Four-Year College,University Park,PA,16802-1503,USA,15,40.803660,-77.854320,11/1/2009 12:00:00 AM,2009,Pursuing Penn State's Dream for Excellence in the Humanities Through Publishing,Challenge Grants,Challenge Programs,0.0000,300000.0000,0.0000,50000.0000,50000.0000,0.0000,12/1/2008 12:00:00 AM,7/31/2013 12:00:00 AM,"The Penn State University Press proposes to use an NEH Challenge Grant, together with matching funds, to establish a permanent endowment whose income will provide annually up to $60,000 for support of 15 series in the humanities, spanning fields from art and architecture to colonial Latin American history and Jewish literature. Some of these series will be published online through the Office of Digital Scholarly Publishing, operated jointly by the Libraries and Press at Penn State, and almost all will be able to take advantage of the ODSP to create ""hybrid"" print/online publications.",Endowment for publications in fifteen humanities series published by Penn State University Press and making use of varied digital formats.,"Interdisciplinary Studies, General",0,,2,Sanford Thatcher [Project Director]; Patrick Alexander [Project Director],1,"Interdisciplinary Studies, General"
CH-50691-11,1,Paul Revere Memorial Association,National Organization,Boston,MA,02113-2405,USA,8,42.363450,-71.053870,11/1/2009 12:00:00 AM,2009,Campaign to Renew the Paul Revere House Historic Site,Challenge Grants,Challenge Programs,0.0000,300000.0000,0.0000,300000.0000,300000.0000,0.0000,12/1/2008 12:00:00 AM,7/31/2014 12:00:00 AM,"The Paul Revere Memorial Association seeks an NEH Challenge Grant of $300,000 to assist its efforts to renew, expand, and endow its historic complex for current and future audiences. With over 250,000 visitors each year, there is no doubt that the iconic figure, Paul Revere, continues to engage scholars and the general public. The grant will provide funds to renovate 5/6 Lathrop Place (an 1835 abutting structure, with direct access to our courtyard) into a 3,600 square foot Education and Visitor Center and to add to our existing endowment, while furthering both our humanities endeavors and property preservation goals. Scholars and visitors will experience improved access to research resources and interpretive themes that are unique to the property. 300 years of history and new program opportunities. This expansion project is a transformative event for our organization, one that will make a great historic complex truly exceptional.","Funding supports the renovation of an 1835 abutting structure at 5/6 Lathrop Place to create an Education and Visitor Center, plus an endowment for humanities programming.",U.S. History,0,,1,Nina Zannieri [Project Director],1,U.S. History
CH-50692-10,1,Dickinson State University Foundation,Non-Profit Educational Center,Dickinson,ND,58601-4819,USA,1,46.881680,-102.797020,11/1/2009 12:00:00 AM,2009,The Theodore Roosevelt Center of Dickinson State University,Challenge Grants,Challenge Programs,0.0000,500000.0000,0.0000,281809.0500,281809.0500,0.0000,12/1/2008 12:00:00 AM,7/31/2015 12:00:00 AM,"Dickinson State University has established the Theodore Roosevelt Center to study and analyze the life and legacy of the 26th president of the United States. The Center houses both an on-site collection of TR holdings and a Web site through which the Theodore Roosevelt Papers of the Library of Congress and other digitized collections are accessible to young and old, scholars and school children, ranchers and writers, and people around the world. This Challenge Grant will create an endowment to support a chair in Theodore Roosevelt studies who will aid in the interpretation of the collections. The grant will also fund library and artifact acquisitions to complement the Web-based collections. We are seeking $500,000 to be matched by $1.5 million in non-federal funds that we will raise.",Endowment for a chair in Theodore Roosevelt studies and for related library acquisitions.,U.S. History,0,,1,Clay Jenkinson [Project Director],1,U.S. History
CH-50695-10,1,Nebraska Educational Telecommunications,Unknown,Lincoln,NE,68503-1409,USA,1,40.830900,-96.672720,11/1/2009 12:00:00 AM,2009,Telling Nebraska Stories in the Digital Age,Challenge Grants,Challenge Programs,0.0000,500000.0000,0.0000,500000.0000,500000.0000,0.0000,12/1/2007 12:00:00 AM,7/31/2014 12:00:00 AM,"On behalf of Nebraska Educational Telecommunications (NET), NET Foundation for Television, Inc. requests a $500,000 Challenge Grant from the National Endowment for the Humanities. Funds will be matched 3:1 to create a permanent restricted digital humanities endowment fund of $2 million within the NET Inspire Nebraska endowment campaign. The digital humanities endowment fund will help to support scholarly involvement in projects, and would greatly expand NET's capacity to carry out current and future digital projects. Endowment funds will be used on a project-by-project basis, to preserve and repurpose existing material from NET Heritage Library of historically significant local productions, to combine these resources with new material and scholarly input, and to make the results available to audiences both on-air and online. NEH will be recognized as an endowment contributor and on endowment-funded projects.",A digital humanities endowment fund to support scholarly involvement and expand NET's capacity to conduct future digital projects.,Media Studies,0,,1,David Feingold [Project Director],1,Media Studies
CH-50700-10,1,Cape Cod Community College Educational Foundation,Philanthropic Foundation,West Barnstable,MA,02668-1599,USA,9,41.690450,-70.339760,11/1/2009 12:00:00 AM,2009,Expansion and Endowment of the W.B. Nickerson Cape Cod History Archives,Challenge Grants,Challenge Programs,0.0000,170000.0000,0.0000,170000.0000,170000.0000,0.0000,6/1/2007 12:00:00 AM,7/31/2013 12:00:00 AM,"The W. B. Nickerson Cape Cod History Archives is the only research/archival resource dedicated to preserving Cape Cod's rich and nationally relevant historical record in its entirety. It contains over 10,000 rare items, including maps, deeds, ship logs & diaries. The Archives has outgrown available space and is unable to meet archival standards in preserving its holdings, rare documents are deteriorating. We propose to: 1) renovate the Archives, expanding its area and updating facilities to attain archival standards of preservation, and accommodate collection growth; 2) digitize key elements of the collection and make them available online; 3) establish an endowment to fund collection conservation, acquisitions, and educational outreach. The total estimated costs are $953,524; of which $543,500 are in hand/pledged. We request $170,000 from the NEH, to be matched by $360,024 from non-federal sources ($120,000 in hand qualify for match). This project is a priority for the College.","Funding supports renovations to the college's library to house and safeguard the W.B. Nickerson Cape Cod History Archives, and an endowment for acquisitions and other archival costs.",Archival Management and Conservation,0,,1,Jeanmarie Fraser [Project Director],1,Archival Management and Conservation
CH-50702-10,1,Museum for African Art,Museum,Long Island City,NY,10029-8405,USA,13,40.796220,-73.949560,11/1/2009 12:00:00 AM,2009,Direct costs of fit-out of newly constructed Museum for African Art building,Challenge Grants,Challenge Programs,0.0000,500000.0000,0.0000,500000.0000,500000.0000,0.0000,12/1/2007 12:00:00 AM,7/31/2012 12:00:00 AM,"The Museum for African Art respectfully requests a Challenge Grant from the National Endowment for the Humanities in the amount of $1 million, to be matched on a three-to-one basis by new funds. These funds will be applied toward the construction and outfitting costs of our new building. The new building is currently under construction at 110th Street and Fifth Avenue, where New York City's Museum Mile meets East and Central Harlem, and is on schedule to open in late 2010 or early 2011. The move to a new facility, the Museum's first permanent home, will provide the capacity to mount an uninterrupted exhibition schedule, to host more diverse audiences and, for the first time, to assemble and maintain a permanent collection. The economic impact make this project immediately beneficial to the Harlem community of New York City, in addition to the increased scope of the Museum's cultural and educational programs. ",Funding supports final construction and outfitting costs of a new home for the Museum for African Art.,Art History and Criticism,0,,1,Enid Schildkrout [Project Director],1,Art History and Criticism
CH-50710-11,1,Homer Society of Natural History,General Museum,Homer,AK,99603-7504,USA,1,59.645350,-151.549270,11/1/2009 12:00:00 AM,2009,"Capital Improvements to Expand, Preserve, Interpret, and Share Humanities Collections",Challenge Grants,Challenge Programs,0.0000,750000.0000,0.0000,750000.0000,750000.0000,0.0000,12/1/2008 12:00:00 AM,6/30/2019 12:00:00 AM,"The National Award-winning Pratt Museum is dedicated to helping people explore the human experience and natural environment in Southcentral Alaska's Kachemak Bay region, one of Alaska's most biologically rich and intensively used ecosystems. The Museum is embarking on a five-year institutional development project. Support from a National Endowment for the Humanities Challenge Grant and the corresponding 3:1 matching funds will help the Pratt make critical improvements so the Museum is able to expand, preserve, interpret, and share its history and cultural collections long into the future. This support will help the Pratt: 1) expand collections storage space and improve environmental controls; 2) construct education program space for delivery of programs that illuminate the historic and contemporary life of Kachemak Bay; 3) develop back-of house facilities for research, object conservation, and exhibit preparation; and 4) renovate galleries for humanities exhibits.","Funding supports a renovation to expand collections storage space and improve environmental controls; creation of dedicated program space and facilities for research, conservation, and exhibit preparation.",U.S. Regional Studies,0,,2,Heather Beggs [Project Director]; Diane Converse [Project Director],1,U.S. Regional Studies
CH-50715-10,1,American School of Classical Studies at Athens,Center For Advanced Study/Research Institute,Princeton,NJ,08540-5232,USA,12,40.35077,-74.65385,11/1/2009 12:00:00 AM,2009,The ASCSA Libraries: A World-Class Center for Humanities Research,Challenge Grants,Challenge Programs,0.0000,578750.0000,0.0000,578750.0000,578750.0000,0.0000,12/1/2008 12:00:00 AM,7/31/2014 12:00:00 AM,"The American School of Classical Studies at Athens (ASCSA) is the preeminent American overseas research institution devoted to the advanced study of all aspects of Greek culture from antiquity to the present day. The School's two libraries, The Blegen Library and The Gennadius Library, provide unparalleled resources for all aspects of Greek studies, with the Blegen covering virtually the entire field of prehistoric and classical antiquity with holdings of more than 94,000 volumes, and the Gennadius with over 116,000 volumes covering the history, language, literature and art of Greece, especially from the Byzantine period to contemporary times. With strategic planning completed, the ASCSA is embarking upon a Capital Campaign to improve its infrastructure and increase its endowment. With NEH Challenge Grant funding, the ASCSA will renovate parts of its two major research libraries and stabilize their annual operating funds by increasing the dedicated endowments of its libraries.",Funding supports capital improvements in the ASCSA's two libraries: a new HVAC system for the Blegen Library and a renovated west wing and new extension of the Gennadius Library.,"Interdisciplinary Studies, General",0,,2,Irene Romano [Project Director]; Mary Emerson [Project Director],1,"Interdisciplinary Studies, General"
CH-50716-10,1,Eckerd College,Four-Year College,St. Petersburg,FL,33711-4744,USA,13,27.71897,-82.68928,11/1/2009 12:00:00 AM,2009,Professorship in Film Studies,Challenge Grants,Challenge Programs,0.0000,300000.0000,0.0000,300000.0000,300000.0000,0.0000,12/1/2008 12:00:00 AM,7/31/2013 12:00:00 AM,"Eckerd College requests a Challenge Grant of $300,000 to support the addition of an endowed professorship in Film Studies. The addition of this professorship is the next step in strengthening the humanities at Eckerd. It will make possible the development of a coherent set of courses that will draw more students to an appreciation of the humanities through film and serve as the foundation of an innovative major drawing on humanities disciplines. The College will raise $1,000,000 through its current capital campaign to match the Challenge Grant in order to create an endowment to fund the position.",Endowment for a faculty position in Film Studies and in the use of film across humanities disciplines.,"Interdisciplinary Studies, General",0,,2,Lloyd Chapin [Project Director]; Nathan Andersen [Project Director],1,"Interdisciplinary Studies, General"
CH-50718-10,1,Trustees of Columbia University in the City of New York,Center For Advanced Study/Research Institute,New York,NY,10027-7922,USA,13,40.817710,-73.957070,11/1/2009 12:00:00 AM,2009,Columbia University NEH Challenge Grant,Challenge Grants,Challenge Programs,0.0000,725000.0000,0.0000,725000.0000,725000.0000,0.0000,6/1/2007 12:00:00 AM,7/31/2014 12:00:00 AM,"The Center for the History and Ethics of Public Health at Columbia University's Mailman School of Public Health is poised to launch a major endowment campaign and is seeking a $750,000 challenge grant from the National Endowment for the Humanities. Building on humanistic traditions while expanding the borders of public health in new ways has been the objective of our Center since its inception in 2002. Our mission has been to validate the idea that humanistic studies of public health have a vital role to play in the lives of professionals, historians, and the public. We firmly believe that an engaged history that meets the highest standards of historical scholarship and scholarly rigor can help to address critical social, scientific, and humanistic questions of the day.",Endowment for a junior faculty position focused on global health and for related programming at the Center for the History and Ethics of Public Health at Columbia's Mailman School of Public Health.,"History and Philosophy of Science, Technology, and Medicine",0,,0,,1,"History and Philosophy of Science, Technology, and Medicine"
