AppNumber,ApplicantType,Institution,OrganizationType,InstCity,InstState,InstPostalCode,InstCountry,CongressionalDistrict,Latitude,Longitude,CouncilDate,YearAwarded,ProjectTitle,Program,Division,ApprovedOutright,ApprovedMatching,AwardOutright,AwardMatching,OriginalAmount,SupplementAmount,BeginGrant,EndGrant,ProjectDesc,ToSupport,PrimaryDiscipline,SupplementCount,Supplements,ParticipantCount,Participants,DisciplineCount,Disciplines
CZ-50209-10,1,"University of Alaska, Anchorage",Two-Year College,Anchorage,AK,99508-4614,USA,1,61.18993,-149.81734,7/1/2008 12:00:00 AM,2008,Forty-Ninth State Fellows Program,Special Initiatives,Challenge Programs,0.0000,500000.0000,0.0000,12291.0000,12291.0000,0.0000,9/1/2007 12:00:00 AM,4/30/2013 12:00:00 AM,"Founded in 2005, The Forty-Ninth State Fellows Program within the UAA Honors College gives up to 60 of the university's most talented students a comprehensive education in America's founding principles. The goal is to build leaders with a deep knowledge of the history, statesmen, and traditions that created both the United States and the dynamic state of Alaska. The Fellows form a community of scholars during their university years. The program consists of three elements 1.* a rigorous foundational curriculum with a focus on history, economics, and political ideas, combined with additional readings, tutorials, and seminars; 2.* travel study, including a Pilgrimage to Washington D.C. and the east coast in their freshman year, a Sojourn to rural Alaska in their sophomore year, and an Odyssey abroad in their junior year; and 3.* social and cultural enrichment, including weekly meetings with faculty and visitng guest lecturers and memberships in civic organizations.","Endowment for a full-time coordinator, summer travel, student scholarships, and Polaris lectures for The Forty-Ninth State Fellows Program.",U.S. History,0,,0,,1,U.S. History
CZ-50212-10,1,National Underground Railroad Freedom Center,National Organization,Cincinnati,OH,45202-3413,USA,1,39.09699,-84.51101,7/1/2008 12:00:00 AM,2008,Endowment for National Underground Railroad Freedom Center's Exhibits and Educational Programs,Special Initiatives,Challenge Programs,0.0000,650000.0000,0.0000,650000.0000,650000.0000,0.0000,9/1/2007 12:00:00 AM,7/31/2014 12:00:00 AM,"The National Underground Railroad Freedom Center seeks to create an endowment to enhance its humanities activities, in order to ensure its research and programming in its core area of demonstrating the significance of ""freedom"" as it relates to United States history, its culture, and its institutions. Although the Freedom Center focuses on slavery and abolitionists and the dilemma of abridging freedom that is guaranteed by the country's constitution -- it demonstrates the current relevance. Specificially, the NEH We the People Challenge grant will: expand the Freedom Center's self-guided and docent led tour program by developing new tours complementing the Freedom Center's exhibits; broaden its educational program by offering lectures and engaging in collaborative humanities projects; enhance its Distance Learning initiative by extending its educational activities beyond the museum's walls; augment its exhibits by creating changing exhibits and attracting traveling exhibits.","Endowment for core programs: exhibits, educational workshops, distance learning, and tours.","Interdisciplinary Studies, General",0,,3,Donald Murphy [Project Director]; Kim Robinson [Project Director]; Douglass McDonald [Project Director],1,"Interdisciplinary Studies, General"
CH-50611-10,1,"SUNY Research Foundation, Buffalo State College",Center For Advanced Study/Research Institute,Buffalo,NY,14222-1004,USA,26,42.93334,-78.8771,11/1/2008 12:00:00 AM,2008,Art Conservation Facilities Improvement and Conservation Science Endowment,Challenge Grants,Challenge Programs,0.0000,200000.0000,0.0000,200000.0000,200000.0000,0.0000,12/1/2007 12:00:00 AM,7/31/2013 12:00:00 AM,"The Buffalo State College Art Conservation Department requests an NEH Challenge Grant of $200,000, with the total sum of $1 million intended for facilities improvements and a conservation science endowment. The expansion of department facilities will allow for enhanced relationships with community partners and the transformation of the department through the development of the Buffalo Conservation Consortium, an entity that will provide conservation services to regional humanities institutions while giving students unparalleled opportunities in conservation treatment experience. The conservation science endowment will help complete a campaign that will support a professorship as well as art conservation research. The professorship is currently funded by a Mellon Foundation grant; an endowed position will allow for leadership in the field and improved instruction for our students, enabling them to become skilled custodians of our nation's historic, cultural, and artistic heritage.",Expansion of conservation facilities and endowment for a professorship in conservation.,Archival Management and Conservation,0,,3,Elizabeth Peña [Project Director]; James Hamm [Project Director]; Patrick Ravines [Project Director],1,Archival Management and Conservation
CH-50652-10,1,National Underground Railroad Freedom Center,National Organization,Cincinnati,OH,45202-3413,USA,1,39.09699,-84.51101,11/1/2008 12:00:00 AM,2008,The National Underground Railroad Freedom Center's Distance Learning Program: Enhancing Educational Access,Challenge Grants,Challenge Programs,0.0000,600000.0000,0.0000,600000.0000,600000.0000,0.0000,12/1/2007 12:00:00 AM,12/31/2014 12:00:00 AM,"The National Underground Railroad Freedom Center requests a first-time Challenge Grant from the NEH to ensure the expansion of the Freedom Center's education programs in order to create an educational and interactive network for school teachers and to reach more students across the United States. Specifically it will create an endowment that will enable the Freedom Center to: explore new ways of making its historical, educational resources available through enhancing its Distance Learning program; support and improve its Distance Learning program capacity through a new full-time Distance Learning Program Manager.","To Support: Endowment for education programs for schools, and a full-time Distance Learning Program Manager","Interdisciplinary Studies, General",0,,3,Donald Murphy [Project Director]; Kim Robinson [Project Director]; Douglass McDonald [Project Director],1,"Interdisciplinary Studies, General"
GI-50097-10,1,Harvard University,Center For Advanced Study/Research Institute,Cambridge,MA,02138-3800,USA,5,42.373120,-71.118260,2/1/2009 12:00:00 AM,2009,Prints and the Pursuit of Knowledge in Early Modern Europe,America's Historical and Cultural Organizations: Implementation Grants,Public Programs,0.0000,350000.0000,0.0000,349999.7900,349999.7900,0.0000,1/1/2010 12:00:00 AM,12/31/2012 12:00:00 AM,"The Harvard Art Museum will organize, present, and circulate a groundbreaking interpretive exhibition that will transform traditional assumptions about the role of artists in the production of new forms of knowledge during the Renaissance's Scientific Revolution. The museum requests funds for the implementation of the major traveling exhibition, Prints and the Pursuit of Knowledge in Early Modern Europe, and for support of its related publications and public programming. The exhibition, which opens jointly at Harvard's Sackler Museum and Wellesley College's Davis Art Museum, addresses the participation of such celebrated northern European artists as Albrecht Dürer, Hendrick Goltzius, and Hans Holbein in the scientific inquiries of the sixteenth century, especially as manifested in their printed works. Such an investigation reveals the previously unexamined close working relationships between the artistic and scientific communities, and the exchanges of influence between them.","Implementation of a traveling exhibition, a colloquium, a catalog, an interactive website, and educational and public programs exploring the alliance between printmakers and scientists in the 16th century.","Arts, General",0,,1,Susan Dackerman [Project Director],1,"Arts, General"
AQ-50099-10,1,Northwestern University,Publishing,Evanston,IL,60208-0001,USA,9,42.04982,-87.67914,5/1/2009 12:00:00 AM,2009,Should Art Be Moral? The Ancient Quarrel Between Philosophy and Poetry,Enduring Questions: Pilot Course Grants,Education Programs,24749.0000,0.0000,24749.0000,0.0000,24749.0000,0.0000,7/1/2009 12:00:00 AM,12/31/2010 12:00:00 AM,"In this seminar-style course, we will look at some of the most prominent episodes of what Plato called ""the ancient quarrel between philosophy and poetry"" in order to compass the alternative answers given to the perennial question: should art be moral? In pursuing this question, we will examine both the works of art that have figured most prominently in this debate as well as the philosophic and literary disputes that have followed in their wake. The course is comprised of three units. The first concerns the pre-modern background of the quarrel and will include readings from Sophocles, Plato, and Dante, among others. The second unit deals with the reemergence of this debate in modern writers such as Moliere, Rousseau, Schiller and Nietzsche. In the last unit, we turn to five late modern poets and writers who have explicitly treated the relation of morality to their art: Tolstoy, Brecht, Eliot, Woolf and O'Connor.","The development of a one-semester course that would be offered at least twice, for twenty undergraduates, on the question of the moral value of art.","Interdisciplinary Studies, General",0,,1,Mark Alznauer [Project Director],1,"Interdisciplinary Studies, General"
GI-50111-10,1,"Children's Museum, The",Museum,Boston,MA,02210-1016,USA,8,42.351470,-71.050010,7/1/2009 12:00:00 AM,2009,Native Voices: New England Tribal Families,America's Historical and Cultural Organizations: Implementation Grants,Public Programs,0.0000,375000.0000,0.0000,375000.0000,375000.0000,0.0000,1/1/2010 12:00:00 AM,3/31/2013 12:00:00 AM,"Boston Childrens Museum (BCM) will create a new traveling exhibition for children 5-12 years old and their parents and educators about cultural continuity and contemporary Native American life in New England. Utilizing a personalized interpretive technique that is developmentally appropriate for our young audience, Native Voices: New England Tribal Families will feature four actual Native American youth as cultural guides. Showcasing and contextualizing BCM's distinguished Native American collection, the exhibit will build on BCM's thirty years of working with tribal communities and scholars to present authentic first-person perspectives; our success in creating engaging cultural exhibitions for children and families; and our depth of oral history research and educational resources for teaching and learning about New England Native Americans.",Implementation of a traveling exhibition for children ages five to twelve and their families about cultural continuity and contemporary Native American life in New England.,Native American Studies,0,,1,Gail Ringel [Project Director],1,Native American Studies
GI-50138-11,1,Asian Art Museum,Museum,San Francisco,CA,94118,USA,11,37.7822,-122.45976,7/1/2009 12:00:00 AM,2009,"Bali: Art, Ritual, Performance",America's Historical and Cultural Organizations: Implementation Grants,Public Programs,0.0000,400000.0000,0.0000,400000.0000,400000.0000,0.0000,6/1/2010 12:00:00 AM,6/30/2012 12:00:00 AM,"The Asian Art Museum in San Francisco respectfully requests a National Endowment for the Humanities grant of $400,000 within the Implementation Grants for Museums and Historical Organizations category. NEH funding will enable the Asian Art Museum to organize, design, and present an extraordinary traveling exhibition, Bali: Art, Ritual, Performance. This will be the first ever large-scale exhibition in the U.S. to explore the arts of Bali. The nearly 9,000 square-foot exhibition will consist of three major components--150 objects borrowed from museum and private collections in the U.S. and the Netherlands; an enclosed courtyard devoted to the ephemeral arts; a complementary series of video clips, artist demonstrations, and live performances. It will be presented in at least two major U.S. venues: the Asian Art Museum, San Francisco (June 11-September 19, 2010) and the Dallas Museum of Art (February-May 2011). (Currently, several other museums are considering presenting the exhibition.)","Implementation of a traveling exhibition, a catalog, a website, and public and educational programs on the arts of Bali.",Art History and Criticism,0,,1,Natasha Reichle [Project Director],1,Art History and Criticism
TR-50066-10,1,WGBH Educational Foundation,Non-Profit Educational Center,Boston,MA,02135-2016,USA,7,42.357290,-71.148070,7/1/2009 12:00:00 AM,2009,American Experience: Panama Canal,America's Media Makers: Production Grants,Public Programs,300000.0000,150000.0000,300000.0000,150000.0000,450000.0000,0.0000,9/1/2009 12:00:00 AM,9/30/2010 12:00:00 AM,"This is a request to the National Endowment for the Humanities for funds to support the production of Panama Canal, a two-hour special presentation of American Experience, for national broadcast on PBS. Focusing primarily on the decade-long American construction effort, it places the American Canal against the backdrop of the calamitous French effort that preceded and haunted it. It traces the roots of the American commitment to a trans-Isthmian canal in Theodore Roosevelt's expansionist vision of American power, and shows how advances in public health, technology and engineering made it possible for the Americans to succeed where the French had failed. It examines how the leadership of the canal dealt with the challenges of recruiting and managing an immense and diverse work force,and explores the risks borne by workers building one of the planets most remarkable structures in one of the most hostile environments on earth.",Production of a two-hour documentary on the history of the construction of the Panama Canal for PBS's American Experience.,U.S. History,0,,1,Mark Samels [Project Director],1,U.S. History
TD-50102-10,1,"Center for Independent Documentary, Inc.",Four-Year College,Newton,MA,02458-1341,USA,4,42.35859,-71.19793,7/1/2009 12:00:00 AM,2010,Mysticism and Monotheism,America's Media Makers: Development Grants,Public Programs,65000.0000,0.0000,65000.0000,0.0000,65000.0000,0.0000,2/1/2010 12:00:00 AM,8/31/2010 12:00:00 AM,"We are requesting a $70,000 scripting grant for Mysticism and Monotheism, a major two hour PBS project that brings to viewers -- some, for the first time -- an understanding of the mystical traditions of Judaism, Christianity and Islam. Mysticism is a topic rich in historical and intellectual influences. The film will unfold through encounters with contemporary practitioners, with ""ordinary"" men and women of faith, and dialogue with prominent scholars. The project explores the historical origins of mystical practice and connections with contemporary religion; examines mystical interpretations of scripture in the three Abrahamic traditions; offers insight into the theological substrate of mysticism; and delves into the nature of human consciousness. The Bible, Torah, Quran, music and poetry will offer insight into how mysticism developed and is expressed today. Advising scholars include Arthur Green (Hebrew Univ), Bernard McGinn (Univ of Chicago), James Morris (Boston College)...","Scripting for a two-hour television broadcast and companion website on mystical practice and its contemporary role in Judaism, Christianity, and Islam.",Comparative Religion,0,,1,Christine Herbes-Sommers [Project Director],1,Comparative Religion
