AppNumber,ApplicantType,Institution,OrganizationType,InstCity,InstState,InstPostalCode,InstCountry,CongressionalDistrict,Latitude,Longitude,CouncilDate,YearAwarded,ProjectTitle,Program,Division,ApprovedOutright,ApprovedMatching,AwardOutright,AwardMatching,OriginalAmount,SupplementAmount,BeginGrant,EndGrant,ProjectDesc,ToSupport,PrimaryDiscipline,SupplementCount,Supplements,ParticipantCount,Participants,DisciplineCount,Disciplines
FEL-283053-22,2,Brown University,Center For Advanced Study/Research Institute,Providence,RI,02912-9100,USA,1,41.826110,-71.404480,11/1/2021 12:00:00 AM,2021,"The Past and Future of Chika Sagawa (1911-1939), Japanese Modernist Poet",Fellowships,Research Programs,35000.0000,0.0000,35000.0000,0.0000,35000.0000,0.0000,6/1/2022 12:00:00 AM,12/31/2022 12:00:00 AM,"The Past and Future of Chika Sagawa brings together Anglophone and Japanese scholars and artists to reexamine the legacy of one of Japan’s most influential poets, Chika Sagawa (1911–1936). The first extensive study of any female modernist poet in Japan, the digital publication widens and deepens our understanding of literary developments in Japan in the interwar period via a necessarily “anti-orientalist” reading of literary culture. As a cross-disciplinary, multimodal, bilingual digital publication, it forges connections between contemporary arts communities both in the US and Japan that are actively engaged with Sagawa’s poetry. Enhancing the multidisciplinary dimension of the project, a video recording of a specially organized taidan, or formal conversation, provides dynamic content to sit alongside Sagawa’s poetry, accompanying interpretive texts by scholars, as well as newly commissioned electro-acoustic and visual works.",Research and writing&nbsp;leading to&nbsp;a&nbsp;digital monograph on the reception and legacy of&nbsp;modernist Japanese poet&nbsp;Chika Sagawa (1911–1936).,East Asian Literature,0,,1,Sawako Nakayasu [Project Director],3,"Arts, Other; East Asian Literature; Literature, Other"
ZPA-283076-22,1,Vermont Historical Society,Historical Society,Barre,VT,05641-4209,USA,1,44.195980,-72.498840,8/1/2021 12:00:00 AM,2021,Vermont's Role in Our National Story: Providing Digital Access to Our Collections,ARP-Organizations (Preservation-related),Agency-wide Projects,199889.0000,0.0000,199889.0000,0.0000,199889.0000,0.0000,10/1/2021 12:00:00 AM,6/30/2022 12:00:00 AM,"VHS is asking for additional relief funding from NEH to support the creation of digital catalog records to make Vermont history accessible from anywhere in the world. VHS serves thousands of students and teachers annually, who rely on access to primary source materials to meet curriculum standards. Researchers rely on digital access to the rare and unique items preserved in our archives to promote scholarship on Vermont history and current events. Since the beginning of the pandemic, we have seen a distinct increase in the use of our digital collections, especially by those living outside Vermont. To commemorate America's 250th Anniversary, we will prioritize access to collections from Vermont's colonial period and those highlighting the unique experiences of under-represented communities. This project will build on our initial accomplishments and provide access to collections that inform our understanding of Vermont's role in our national story.","The retention of five full-time positions and four part-time positions to engage in collection description,&nbsp;preservation, database&nbsp;management, and digitization.&nbsp;",U.S. History,0,,1,Stephen Perkins [Project Director],1,U.S. History
SO-283085-22,1,North Carolina Humanities Council,State Humanities Council,Charlotte,NC,28202-2532,USA,14,35.228720,-80.835110,7/1/2021 12:00:00 AM,2021,State Humanities Program,State Humanities Councils General Operating Support Grants,Federal/State Partnership,2993323.0000,81925.0000,2993323.0000,81925.0000,3075248.0000,0.0000,11/1/2021 12:00:00 AM,10/31/2026 12:00:00 AM,"Mission: To connect North Carolinians with cultural experiences that spur dialogue, deepen human connections, and inspire community.  Vision: A North Carolina enriched by the humanities and equipped with empathy, understanding, and respect.",General operating support for state or territorial humanities council,"Interdisciplinary Studies, General",10,,2,Nancy Gutierrez [Project Director]; Lorna Ricotta [Project Director],1,"Interdisciplinary Studies, General"
ZDH-283087-22,1,University of Houston System,Four-Year College,Houston,TX,77204-3067,USA,18,29.722410,-95.346710,8/1/2021 12:00:00 AM,2021,Salary Support for Recovering the US Hispanic Literary Heritage,ARP-Organizations (Digital humanities-related),Agency-wide Projects,92142.0000,0.0000,92142.0000,0.0000,92142.0000,0.0000,10/1/2021 12:00:00 AM,12/31/2021 12:00:00 AM,Compensation for revenue lost during the COVID-19 pandemic that created a shortfall of coverage for salaries of the Humanities Preservation and Access staff at Recovering the US Hispanic Literary Heritage,To fund the salaries of three staff members working on Recovering the US Hispanic Literary Heritage from October through December 2021.,"Literature, General",0,,1,Nicolas Kanellos [Project Director],2,"Latin American Literature; Literature, General"
SO-283089-22,1,Humanities Nebraska,State Humanities Council,Lincoln,NE,68508-1836,USA,1,40.81232,-96.69977,7/1/2021 12:00:00 AM,2021,State Humanities Program,State Humanities Councils General Operating Support Grants,Federal/State Partnership,2067277.0000,15201.0000,2067277.0000,15201.0000,2082478.0000,0.0000,11/1/2021 12:00:00 AM,10/31/2026 12:00:00 AM,"With the General Operating Support Grant, Humanities Nebraska brings the humanities to life through subawards and/or public programming in Nebraska. The council tailors its subaward-making and public programs to the needs, resources, and interests of Nebraska. In doing so, it delivers on its mission to help Nebraskans explore what connects us and makes us human.",General operating support for state or territorial humanities council,"History, General",9,,2,Connie Duncan [Project Director]; Elizabeth Whited [Project Director],3,"History, General; Interdisciplinary Studies, General; Literature, General"
SO-283096-22,1,Humanities Guahan,State Humanities Council,Hagatna,GU,96910-5172,USA,1,13.475110,144.750920,7/1/2021 12:00:00 AM,2021,State or Jurisdictional Humanities Program,State Humanities Councils General Operating Support Grants,Federal/State Partnership,1459399.0000,1687.0000,1114396.0000,1189.0000,1115585.0000,0.0000,11/1/2021 12:00:00 AM,10/31/2026 12:00:00 AM,"With the General Operating Support Grant, Guam Humanities Guam brings the humanities to life through subawards and/or public programming in Guam. The council tailors its subaward-making and public programs to the needs, resources and interests of Guam. In doing so, it delivers on its mission to foster community engagement and dialogue, inspire critical thinking, celebrate diversity and enrich the quality of life of island residents through the the power of the humanities.",General operating support for state or territorial humanities council,"Interdisciplinary Studies, Other",9,,5,Elfrieda Koshiba [Project Director]; Beth Perez [Project Director]; CJ Ochoco [Project Director]; Beth Perez [Project Director]; Troy McVey [Project Director],1,"Interdisciplinary Studies, Other"
SO-283102-22,1,Virginia Foundation for the Humanities,State Humanities Council,Charlottesville,VA,22903-4625,USA,5,38.048760,-78.540570,7/1/2021 12:00:00 AM,2021,State Humanities Program,State Humanities Councils General Operating Support Grants,Federal/State Partnership,2865002.0000,67050.0000,2865002.0000,67050.0000,2932052.0000,0.0000,11/1/2021 12:00:00 AM,10/31/2026 12:00:00 AM,"Virginia Humanities connects people and ideas to explore the human experience and inspire cultural engagement. By supporting and producing cultural, civic, local, and global educational programs for broad public audiences, Virginia Humanities encourages discovery and connection through the humanities.",General operating support for state or territorial humanities council,"History, General",10,,2,Kevin McFadden [Project Director]; Sylvester Johnson [Project Director],1,"History, General"
SO-283104-22,1,Rhode Island Council for the Humanities,State Humanities Council,Providence,RI,02903-3308,USA,2,41.82286,-71.41522,7/1/2021 12:00:00 AM,2021,State Humanities Program,State Humanities Councils General Operating Support Grants,Federal/State Partnership,1976828.0000,8487.0000,1976828.0000,8487.0000,1985315.0000,0.0000,11/1/2021 12:00:00 AM,10/31/2026 12:00:00 AM,"The Rhode Island Council for the Humanities seeds, supports, and strengthens public history, cultural heritage, civic education, and community engagement by and for all Rhode Islanders.  The Council advances the public humanities sector through grantmaking as well as through the facilitation of shared visions, collaboration to achieve sustainability and resiliency, and partnerships to bring together resources, to innovate, and to scale initiatives for greater impact.",General operating support for state or territorial humanities council,"Interdisciplinary Studies, General",9,,3,Julie Nora [Project Director]; Jonathan Stevens [Project Director]; Doug Popovich [Project Director],1,"Interdisciplinary Studies, General"
SO-283106-22,1,Illinois Humanities Council,State Humanities Council,Chicago,IL,60603-4048,USA,7,41.87999,-87.63072,7/1/2021 12:00:00 AM,2021,State and Jurisdictional Humanities Councils General Operating Support Grant,State Humanities Councils General Operating Support Grants,Federal/State Partnership,4936982.0000,135154.0000,3769133.0000,98078.0000,3867211.0000,0.0000,11/1/2021 12:00:00 AM,10/31/2026 12:00:00 AM,"With the General Operating Support Grant, Illinois Humanities Council activates the humanities through free public programs, grants, and educational opportunities that foster reflection, spark conversation, build community, and strengthen civic engagement throughout Illinois. The organization tailors its offerings to the needs, resources, and interests of all Illinoisans and the places they live, work, learn, and gather. In doing so, it delivers on its mission to strengthen the social, political, and economic fabric of Illinois through constructive conversation and community engagement.",General operating support for state or territorial humanities council,"Interdisciplinary Studies, General",8,,2,Mae Hong [Project Director]; Jai Winston [Project Director],2,"Arts, General; Interdisciplinary Studies, General"
SO-283108-22,1,Wyoming Humanities Council,State Humanities Council,Laramie,WY,82072-3459,USA,1,41.31501,-105.57969,7/1/2021 12:00:00 AM,2021,Wyoming Humanities Program,State Humanities Councils General Operating Support Grants,Federal/State Partnership,1898567.0000,4482.0000,1898567.0000,4482.0000,1903049.0000,0.0000,11/1/2021 12:00:00 AM,10/31/2026 12:00:00 AM,"With the General Operating Support Grant, Wyoming Humanities Council brings the humanities to life through subawards and/or public programming in Wyoming. The Council tailors its subaward-making and public programs to the needs, resources, and interests of Wyoming. In doing so, it delivers on its mission to use the humanities to strengthen our democracy, enhance Wyoming narrative, and promote engaged communities.",General operating support for state or territorial humanities council,"Interdisciplinary Studies, Other",10,,3,Bernadine Craft [Project Director]; Milward Simpson [Project Director]; Maggi Murdock [Project Director],1,"Interdisciplinary Studies, Other"
